customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,False,True,False,1,False,False,0,False,True,False,False,False,False,0,True,2,29.850000381469727,29.850000381469727,False
5575-GNVDE,1,False,False,False,34,True,False,0,True,False,True,False,False,False,1,False,3,56.95000076293945,1889.5,False
3668-QPYBK,1,False,False,False,2,True,False,0,True,True,False,False,False,False,0,True,3,53.84999847412109,108.1500015258789,True
7795-CFOCW,1,False,False,False,45,False,False,0,True,False,True,True,False,False,1,False,0,42.29999923706055,1840.75,False
9237-HQITU,0,False,False,False,2,True,False,1,False,False,False,False,False,False,0,True,2,70.69999694824219,151.64999389648438,True
9305-CDSKC,0,False,False,False,8,True,True,1,False,False,True,False,True,True,0,True,2,99.6500015258789,820.5,True
1452-KIOVK,1,False,False,True,22,True,True,1,False,True,False,False,True,False,0,True,1,89.0999984741211,1949.4000244140625,False
6713-OKOMC,0,False,False,False,10,False,False,0,True,False,False,False,False,False,0,False,3,29.75,301.8999938964844,False
7892-POOKP,0,False,True,False,28,True,True,1,False,False,True,True,True,True,0,True,2,104.8000030517578,3046.050048828125,True
6388-TABGU,1,False,False,True,62,True,False,0,True,True,False,False,False,False,1,False,0,56.150001525878906,3487.949951171875,False
9763-GRSKD,1,False,True,True,13,True,False,0,True,False,False,False,False,False,0,True,3,49.95000076293945,587.4500122070312,False
7469-LKBCI,1,False,False,False,16,True,False,2,False,False,False,False,False,False,2,False,1,18.950000762939453,326.79998779296875,False
8091-TTVAX,1,False,True,False,58,True,True,1,False,False,True,False,True,True,1,False,1,100.3499984741211,5681.10009765625,False
0280-XJGEX,1,False,False,False,49,True,True,1,False,True,True,False,True,True,0,True,0,103.6999969482422,5036.2998046875,True
5129-JLPIS,1,False,False,False,25,True,False,1,True,False,True,True,True,True,0,True,2,105.5,2686.050048828125,False
3655-SNQYZ,0,False,True,True,69,True,True,1,True,True,True,True,True,True,2,False,1,113.25,7895.14990234375,False
8191-XWSZG,0,False,False,False,52,True,False,2,False,False,False,False,False,False,1,False,3,20.649999618530277,1022.9500122070312,False
9959-WOFKT,1,False,False,True,71,True,True,1,True,False,True,False,True,True,2,False,0,106.6999969482422,7382.25,False
4190-MFLUW,0,False,True,True,10,True,False,0,False,False,True,True,False,False,0,False,1,55.20000076293945,528.3499755859375,True
4183-MYFRB,0,False,False,False,21,True,False,1,False,True,True,False,False,True,0,True,2,90.05000305175781,1862.9000244140625,False
8779-QRDMV,1,True,False,False,1,False,False,0,False,False,True,False,False,True,0,True,2,39.650001525878906,39.650001525878906,True
1680-VDCWW,1,False,True,False,12,True,False,2,False,False,False,False,False,False,1,False,0,19.799999237060547,202.25,False
1066-JKSGK,1,False,False,False,1,True,False,2,False,False,False,False,False,False,0,False,3,20.149999618530277,20.149999618530277,True
3638-WEABW,0,False,True,False,58,True,True,0,False,True,False,True,False,False,2,True,1,59.900001525878906,3505.10009765625,False
6322-HRPFA,1,False,True,True,49,True,False,0,True,True,False,True,False,False,0,False,1,59.59999847412109,2970.300048828125,False
